ISO3	FID	Country	Perc_Man	Perc_Pow	row_number	percentage_for_electricity_production		-9	1
JPN	112	Japan	2.96	97.04	113	97.04		113	97.03766813
JOR	116	Jordan	99.20	0.80	119	0.80		119	0.803654018
KAZ	126	Kazakhstan	46.38	53.62	130	53.62		130	53.62141346
KEN	119	Kenya	99.97	0.03	120	0.03		120	0.026558259
KIR	122	Kiribati	100.00	0.00	2	0.00		2	0
PRK	121	Korea Demo	6.06	93.94	131	93.94		131	93.93789037
KOR	123	Korea Rep	4.89	95.11	132	95.11		132	95.10965382
KWT	125	Kuwait	1.11	98.89	124	98.89		124	98.89282067
KGZ	120	Kyrgyzstan	19.96	80.04	123	80.04		123	80.03810939
LAO	127	Lao Peoples Democratic Republic	100.00	0.00	108	0.00		108	0
LVA	129	Latvia	98.99	1.01	122	1.01		122	1.01148493
LBN	128	Lebanon	93.23	6.77	109	6.77		109	6.77116763
LSO	134	Lesotho	100.00	0.00	116	0.00		116	0
LBR	131	Liberia	97.45	2.55	114	2.55		114	2.547203318
LBY	136	Libya	98.20	1.80	127	1.80		127	1.803925171
LIE	133	Liechtenstein	100.00	0.00	111	0.00		111	0
LTU	130	Lithuania	4.23	95.77	117	95.77		117	95.76807921
LUX	135	Luxembourg	100.00	0.00	121	0.00		121	0
MAC	139	Macao SAR	100.00	0.00	140	0.00		140	0
MKD	145	Macedonia FYR	77.16	22.84	138	22.84		138	22.83548771
MDG	137	Madagascar	95.89	4.11	151	4.11		151	4.109153176
MWI	144	Malawi	100.00	0.00	134	0.00		134	0
MYS	157	Malaysia	17.94	82.06	136	82.06		136	82.05586604
MDV	154	Maldives	100.00	0.00	133	0.00		133	0
MLI	146	Mali	100.00	0.00	145	0.00		145	0
MLT	152	Malta	13.68	86.32	148	86.32		148	86.31910704
MHL	187	Marshall Islands	100.00	0.00	137	0.00		137	0
MRT	151	Mauritania	11.68	88.32	143	88.32		143	88.32203469
MUS	149	Mauritius	51.06	48.94	149	48.94		149	48.94379103
MEX	156	Mexico	37.57	62.43	135	62.43		135	62.42648361
FSM	73	Micronesia (Fed. States of)	100.00	0.00	75	0.00		75	0
MDA	140	Moldova	9.60	90.40	147	90.40		147	90.39915198
MCO	147	Monaco	100.00	0.00	141	0.00		141	0
MNG	142	Mongolia	99.31	0.69	139	0.69		139	0.694160826
MNE	155	Montenegro	97.41	2.59	150	2.59		150	2.589145051
MAR	148	Morocco	30.95	69.05	157	69.05		157	69.04902153
MOZ	158	Mozambique	100.00	0.00	160	0.00		160	0
MMR	25	Myanmar	99.91	0.09	146	0.09		146	0.094598881
NAM	241	Namibia	100.00	0.00	161	0.00		161	0
NRU	168	Nauru	100.00	0.00	164	0.00		164	0
NPL	167	Nepal	100.00	0.00	163	0.00		163	0
NLD	165	Netherlands	16.60	83.40	158	83.40		158	83.39622933
NCL	159	New Caledonia	100.00	0.00	152	0.00		152	0
NZL	172	New Zealand	93.79	6.21	170	6.21		170	6.208951146
NIC	171	Nicaragua	99.73	0.27	156	0.27		156	0.269200064
NER	162	Niger	100.00	0.00	153	0.00		153	0
NGA	164	Nigeria	11.24	88.76	155	88.76		155	88.75933507
MNP	48	Northern Mariana Islands	100.00	0.00	142	0.00		142	0
NOR	166	Norway	51.74	48.26	159	48.26		159	48.26261621
OMN	153	Oman	98.59	1.41	171	1.41		171	1.413629323
PAK	178	Pakistan	98.08	1.92	169	1.92		169	1.924874653
PLW	183	Palau	100.00	0.00	181	0.00		181	0
PAN	180	Panama	18.38	81.62	162	81.62		162	81.61955813
PNG	182	Papua New Guinea	100.00	0.00	167	0.00		167	0
PRY	173	Paraguay	100.00	0.00	182	0.00		182	0
PER	175	Peru	86.23	13.77	166	13.77		166	13.77071492
PHL	189	Philippines	3.64	96.36	168	96.36		168	96.35687837
POL	179	Poland	32.42	67.58	177	67.58		177	67.57873636
PRT	181	Portugal	98.30	1.70	180	1.70		180	1.697866995
PRI	190	Puerto Rico	47.59	52.41	178	52.41		178	52.40637988
QAT	185	Qatar	5.08	94.92	183	94.92		183	94.92426459
ROU	188	Romania	41.27	58.73	172	58.73		172	58.72759945
RUS	191	Russian Federation	8.05	91.95	176	91.95		176	91.95129656
RWA	192	Rwanda	100.00	0.00	187	0.00		187	0
WSM	246	Samoa	100.00	0.00	238	0.00		238	0
SMR	202	San Marino	100.00	0.00	210	0.00		210	0
STP	222	Sao Tome and Principe	100.00	0.00	197	0.00		197	0
SAU	193	Saudi Arabia	10.51	89.49	184	89.49		184	89.49217875
SEN	198	Senegal	91.25	8.75	218	8.75		218	8.747779165
SRB	206	Serbia	18.34	81.66	175	81.66		175	81.65588094
SYC	196	Seychelles	100.00	0.00	186	0.00		186	0
SLE	201	Sierra Leone	100.00	0.00	209	0.00		209	0
SGP	203	Singapore	1.84	98.16	219	98.16		219	98.16403958
SXM	252	Sint Maarten (Dutch part)	0.63	99.37	234	99.37		234	99.37331193
SVK	132	Slovakia	85.55	14.45	212	14.45		212	14.45072754
SVN	200	Slovenia	53.23	46.77	194	46.77		194	46.77227755
SLB	28	Solomon Islands	100.00	0.00	185	0.00		185	0
SOM	204	Somalia	100.00	0.00	190	0.00		190	0
ZAF	197	South Africa	30.15	69.85	227	69.85		227	69.84939741
SSD	253	South Sudan	100.00	0.00	196	0.00		196	0
ESP	205	Spain	35.02	64.98	55	64.98		55	64.98089545
LKA	38	Sri Lanka	19.60	80.40	112	80.40		112	80.40150691
KNA	195	St. Kitts and Nevis	100.00	0.00	129	0.00		129	0
LCA	207	St. Lucia	52.77	47.23	110	47.23		110	47.23167239
VCT	236	St. Vincent and the Grenadines	100.00	0.00	251	0.00		251	0
SDN	208	Sudan	97.80	2.20	188	2.20		188	2.198398483
SUR	169	Suriname	100.00	0.00	191	0.00		191	0
SWZ	247	Swaziland	100.00	0.00	203	0.00		203	0
SWE	210	Sweden	1.06	98.94	189	98.94		189	98.93651921
CHE	213	Switzerland	27.16	72.84	42	72.84		42	72.83919733
SYR	212	Syrian Arab Republic	89.57	10.43	200	10.43		200	10.4320865
TJK	217	Tajikistan	1.85	98.15	198	98.15		198	98.15281052
TZA	228	Tanzania	99.19	0.81	205	0.81		205	0.809889933
THA	216	Thailand	98.33	1.67	215	1.67		215	1.666651621
TLS	254	Timor-Leste	100.00	0.00	202	0.00		202	0
TGO	221	Togo	100.00	0.00	214	0.00		214	0
TON	220	Tonga	100.00	0.00	216	0.00		216	0
TTO	215	Trinidad and Tobago	0.90	99.10	192	99.10		192	99.09769236
TUN	223	Tunisia	19.04	80.96	211	80.96		211	80.95897835
TUR	224	Turkey	80.45	19.55	217	19.55		217	19.54812515
TKM	227	Turkmenistan	16.44	83.56	208	83.56		208	83.56219981
TCA	218	Turks and Caicos Islands	100.00	0.00	204	0.00		204	0
TUV	225	Tuvalu	100.00	0.00	193	0.00		193	0
UGA	229	Uganda	100.00	0.00	222	0.00		222	0
UKR	231	Ukraine	5.06	94.94	206	94.94		206	94.93724479
ARE	214	United Arab Emirates	99.76	0.24	3	0.24		3	0.240593407
GBR	230	United Kingdom	21.05	78.95	223	78.95		223	78.94619936
USA	232	United States	28.37	71.63	230	71.63		230	71.63181306
URY	234	Uruguay	3.27	96.73	235	96.73		235	96.73316866
UZB	235	Uzbekistan	59.19	40.81	249	40.81		249	40.80746182
VUT	163	Vanuatu	100.00	0.00	236	0.00		236	0
VEN	237	Venezuela (Bolivarian Republic of)	15.81	84.19	257	84.19		257	84.19391061
VNM	239	Viet Nam	28.14	71.86	228	71.86		228	71.86410952
VIR	240	Virgin Islands (U.S.)	87.75	12.25	225	12.25		225	12.24948286
PSE	242	West Bank & Gaza	100.00	0.00	179	0.00		179	0
YEM	248	Yemen	100.00	0.00	226	0.00		226	0
ZMB	249	Zambia	100.00	0.00	229	0.00		229	0
ZWE	250	Zimbabwe	96.22	3.78	231	3.78		231	3.783921314
